date,visitors,year,month,day,day_of_week,is_weekend
2015-04-21,8118,2015,4,21,화,False
2015-04-22,7315,2015,4,22,수,False
2015-04-23,7660,2015,4,23,목,False
2015-04-24,7303,2015,4,24,금,False
2015-04-25,13399,2015,4,25,토,True
2015-04-26,7738,2015,4,26,일,True
2015-04-27,0,2015,4,27,월,False
2015-04-28,6844,2015,4,28,화,False
2015-04-29,8611,2015,4,29,수,False
2015-04-30,8029,2015,4,30,목,False
2015-05-01,8690,2015,5,1,금,False
2015-05-02,11433,2015,5,2,토,True
2015-05-03,15057,2015,5,3,일,True
2015-05-04,1845,2015,5,4,월,False
2015-05-05,32106,2015,5,5,화,False
2015-05-06,6806,2015,5,6,수,False
2015-05-07,7750,2015,5,7,목,False
2015-05-08,6090,2015,5,8,금,False
2015-05-09,12193,2015,5,9,토,True
2015-05-10,7633,2015,5,10,일,True
2015-05-11,290,2015,5,11,월,False
2015-05-12,10617,2015,5,12,화,False
2015-05-13,8201,2015,5,13,수,False
2015-05-14,8946,2015,5,14,목,False
2015-05-15,8663,2015,5,15,금,False
2015-05-16,13815,2015,5,16,토,True
2015-05-17,9234,2015,5,17,일,True
2015-05-18,24,2015,5,18,월,False
2015-05-19,7504,2015,5,19,화,False
2015-05-20,8205,2015,5,20,수,False
2015-05-21,9165,2015,5,21,목,False
2015-05-22,9255,2015,5,22,금,False
2015-05-23,13802,2015,5,23,토,True
2015-05-24,11351,2015,5,24,일,True
2015-05-25,8121,2015,5,25,월,False
2015-05-26,435,2015,5,26,화,False
2015-05-27,7371,2015,5,27,수,False
2015-05-28,5589,2015,5,28,목,False
2015-05-29,4868,2015,5,29,금,False
2015-05-30,9372,2015,5,30,토,True
2015-05-31,6079,2015,5,31,일,True
2015-06-01,0,2015,6,1,월,False
2015-06-02,4204,2015,6,2,화,False
2015-06-03,2984,2015,6,3,수,False
2015-06-04,2758,2015,6,4,목,False
2015-06-05,2034,2015,6,5,금,False
2015-06-06,4444,2015,6,6,토,True
2015-06-07,2800,2015,6,7,일,True
2015-06-08,0,2015,6,8,월,False
2015-06-09,1999,2015,6,9,화,False
2015-06-10,2719,2015,6,10,수,False
2015-06-11,2240,2015,6,11,목,False
2015-06-12,2104,2015,6,12,금,False
2015-06-13,4637,2015,6,13,토,True
2015-06-14,3544,2015,6,14,일,True
2015-06-15,60,2015,6,15,월,False
2015-06-16,2172,2015,6,16,화,False
2015-06-17,3099,2015,6,17,수,False
2015-06-18,2219,2015,6,18,목,False
2015-06-19,2272,2015,6,19,금,False
2015-06-20,6168,2015,6,20,토,True
2015-06-21,4826,2015,6,21,일,True
2015-06-22,0,2015,6,22,월,False
2015-06-23,3504,2015,6,23,화,False
2015-06-24,5167,2015,6,24,수,False
2015-06-25,3250,2015,6,25,목,False
2015-06-26,2557,2015,6,26,금,False
2015-06-27,11288,2015,6,27,토,True
2015-06-28,6503,2015,6,28,일,True
2015-06-29,296,2015,6,29,월,False
2015-06-30,3608,2015,6,30,화,False
2015-07-01,5989,2015,7,1,수,False
2015-07-02,2854,2015,7,2,목,False
2015-07-03,3026,2015,7,3,금,False
2015-07-04,12268,2015,7,4,토,True
2015-07-05,8753,2015,7,5,일,True
2015-07-06,310,2015,7,6,월,False
2015-07-07,4110,2015,7,7,화,False
2015-07-08,4484,2015,7,8,수,False
2015-07-09,4497,2015,7,9,목,False
2015-07-10,5081,2015,7,10,금,False
2015-07-11,16179,2015,7,11,토,True
2015-07-12,12082,2015,7,12,일,True
2015-07-13,452,2015,7,13,월,False
2015-07-14,5368,2015,7,14,화,False
2015-07-15,7668,2015,7,15,수,False
2015-07-16,5331,2015,7,16,목,False
2015-07-17,5965,2015,7,17,금,False
2015-07-18,15731,2015,7,18,토,True
2015-07-19,13724,2015,7,19,일,True
2015-07-20,329,2015,7,20,월,False
2015-07-21,6900,2015,7,21,화,False
2015-07-22,7570,2015,7,22,수,False
2015-07-23,6383,2015,7,23,목,False
2015-07-24,7200,2015,7,24,금,False
2015-07-25,19969,2015,7,25,토,True
2015-07-26,18120,2015,7,26,일,True
2015-07-27,498,2015,7,27,월,False
2015-07-28,13995,2015,7,28,화,False
2015-07-29,20877,2015,7,29,수,False
2015-07-30,18127,2015,7,30,목,False
2015-07-31,17638,2015,7,31,금,False
2015-08-01,22657,2015,8,1,토,True
2015-08-02,20600,2015,8,2,일,True
2015-08-03,803,2015,8,3,월,False
2015-08-04,20182,2015,8,4,화,False
2015-08-05,18162,2015,8,5,수,False
2015-08-06,17114,2015,8,6,목,False
2015-08-07,15720,2015,8,7,금,False
2015-08-08,23949,2015,8,8,토,True
2015-08-09,21784,2015,8,9,일,True
2015-08-10,710,2015,8,10,월,False
2015-08-11,15827,2015,8,11,화,False
2015-08-12,18532,2015,8,12,수,False
2015-08-13,18352,2015,8,13,목,False
2015-08-14,31342,2015,8,14,금,False
2015-08-15,42502,2015,8,15,토,True
2015-08-16,24825,2015,8,16,일,True
2015-08-17,694,2015,8,17,월,False
2015-08-18,15165,2015,8,18,화,False
2015-08-19,11938,2015,8,19,수,False
2015-08-20,11586,2015,8,20,목,False
2015-08-21,10135,2015,8,21,금,False
2015-08-22,20568,2015,8,22,토,True
2015-08-23,16785,2015,8,23,일,True
2015-08-24,25,2015,8,24,월,False
2015-08-25,6323,2015,8,25,화,False
2015-08-26,9327,2015,8,26,수,False
2015-08-27,6330,2015,8,27,목,False
2015-08-28,5846,2015,8,28,금,False
2015-08-29,16523,2015,8,29,토,True
2015-08-30,15813,2015,8,30,일,True
2015-08-31,411,2015,8,31,월,False
2015-09-01,5556,2015,9,1,화,False
2015-09-02,5743,2015,9,2,수,False
2015-09-03,4412,2015,9,3,목,False
2015-09-04,4055,2015,9,4,금,False
2015-09-05,14930,2015,9,5,토,True
2015-09-06,11093,2015,9,6,일,True
2015-09-07,262,2015,9,7,월,False
2015-09-08,6081,2015,9,8,화,False
2015-09-09,5654,2015,9,9,수,False
2015-09-10,6072,2015,9,10,목,False
2015-09-11,5819,2015,9,11,금,False
2015-09-12,14105,2015,9,12,토,True
2015-09-13,10473,2015,9,13,일,True
2015-09-14,134,2015,9,14,월,False
2015-09-15,5882,2015,9,15,화,False
2015-09-16,9038,2015,9,16,수,False
2015-09-17,7893,2015,9,17,목,False
2015-09-18,7588,2015,9,18,금,False
2015-09-19,14951,2015,9,19,토,True
2015-09-20,10021,2015,9,20,일,True
2015-09-21,80,2015,9,21,월,False
2015-09-22,9871,2015,9,22,화,False
2015-09-23,9108,2015,9,23,수,False
2015-09-24,9698,2015,9,24,목,False
2015-09-25,4495,2015,9,25,금,False
2015-09-26,7241,2015,9,26,토,True
2015-09-27,11028,2015,9,27,일,True
2015-09-28,14017,2015,9,28,월,False
2015-09-29,10692,2015,9,29,화,False
2015-09-30,8482,2015,9,30,수,False
2015-10-01,246,2015,10,1,목,False
2015-10-02,8392,2015,10,2,금,False
2015-10-03,14128,2015,10,3,토,True
2015-10-04,9361,2015,10,4,일,True
2015-10-05,228,2015,10,5,월,False
2015-10-06,12587,2015,10,6,화,False
2015-10-07,12091,2015,10,7,수,False
2015-10-08,10339,2015,10,8,목,False
2015-10-09,20159,2015,10,9,금,False
2015-10-10,18996,2015,10,10,토,True
2015-10-11,13008,2015,10,11,일,True
2015-10-12,46,2015,10,12,월,False
2015-10-13,11701,2015,10,13,화,False
2015-10-14,14092,2015,10,14,수,False
2015-10-15,12940,2015,10,15,목,False
2015-10-16,10252,2015,10,16,금,False
2015-10-17,14635,2015,10,17,토,True
2015-10-18,10213,2015,10,18,일,True
2015-10-19,98,2015,10,19,월,False
2015-10-20,11713,2015,10,20,화,False
2015-10-21,12641,2015,10,21,수,False
2015-10-22,11652,2015,10,22,목,False
2015-10-23,9532,2015,10,23,금,False
2015-10-24,11295,2015,10,24,토,True
2015-10-25,9766,2015,10,25,일,True
2015-10-26,40,2015,10,26,월,False
2015-10-27,7658,2015,10,27,화,False
2015-10-28,12021,2015,10,28,수,False
2015-10-29,9661,2015,10,29,목,False
2015-10-30,8307,2015,10,30,금,False
2015-10-31,11187,2015,10,31,토,True
2015-11-01,11041,2015,11,1,일,True
2015-11-02,250,2015,11,2,월,False
2015-11-03,7200,2015,11,3,화,False
2015-11-04,8101,2015,11,4,수,False
2015-11-05,8563,2015,11,5,목,False
2015-11-06,8547,2015,11,6,금,False
2015-11-07,15060,2015,11,7,토,True
2015-11-08,14249,2015,11,8,일,True
2015-11-09,167,2015,11,9,월,False
2015-11-10,9191,2015,11,10,화,False
2015-11-11,8066,2015,11,11,수,False
2015-11-12,7576,2015,11,12,목,False
2015-11-13,9887,2015,11,13,금,False
2015-11-14,14948,2015,11,14,토,True
2015-11-15,12430,2015,11,15,일,True
2015-11-16,110,2015,11,16,월,False
2015-11-17,6968,2015,11,17,화,False
2015-11-18,7283,2015,11,18,수,False
2015-11-19,5156,2015,11,19,목,False
2015-11-20,8464,2015,11,20,금,False
2015-11-21,11013,2015,11,21,토,True
2015-11-22,8830,2015,11,22,일,True
2015-11-23,0,2015,11,23,월,False
2015-11-24,8234,2015,11,24,화,False
2015-11-25,7878,2015,11,25,수,False
2015-11-26,8101,2015,11,26,목,False
2015-11-27,6682,2015,11,27,금,False
2015-11-28,12333,2015,11,28,토,True
2015-11-29,9811,2015,11,29,일,True
2015-11-30,357,2015,11,30,월,False
2015-12-01,6639,2015,12,1,화,False
2015-12-02,8267,2015,12,2,수,False
2015-12-03,7587,2015,12,3,목,False
2015-12-04,7285,2015,12,4,금,False
2015-12-05,11828,2015,12,5,토,True
2015-12-06,11116,2015,12,6,일,True
2015-12-07,170,2015,12,7,월,False
2015-12-08,8924,2015,12,8,화,False
2015-12-09,9517,2015,12,9,수,False
2015-12-10,9520,2015,12,10,목,False
2015-12-11,9121,2015,12,11,금,False
2015-12-12,14015,2015,12,12,토,True
2015-12-13,12001,2015,12,13,일,True
2015-12-14,113,2015,12,14,월,False
2015-12-15,10693,2015,12,15,화,False
2015-12-16,10378,2015,12,16,수,False
2015-12-17,8067,2015,12,17,목,False
2015-12-18,10720,2015,12,18,금,False
2015-12-19,13863,2015,12,19,토,True
2015-12-20,14043,2015,12,20,일,True
2015-12-21,194,2015,12,21,월,False
2015-12-22,8634,2015,12,22,화,False
2015-12-23,9121,2015,12,23,수,False
2015-12-24,8855,2015,12,24,목,False
2015-12-25,13533,2015,12,25,금,False
2015-12-26,17570,2015,12,26,토,True
2015-12-27,14184,2015,12,27,일,True
2015-12-28,0,2015,12,28,월,False
2015-12-29,14040,2015,12,29,화,False
2015-12-30,14178,2015,12,30,수,False
2015-12-31,10408,2015,12,31,목,False
2016-01-01,1066,2016,1,1,금,False
2016-01-02,23056,2016,1,2,토,True
2016-01-03,16169,2016,1,3,일,True
2016-01-04,0,2016,1,4,월,False
2016-01-05,10448,2016,1,5,화,False
2016-01-06,10018,2016,1,6,수,False
2016-01-07,9654,2016,1,7,목,False
2016-01-08,11585,2016,1,8,금,False
2016-01-09,21900,2016,1,9,토,True
2016-01-10,19882,2016,1,10,일,True
2016-01-11,317,2016,1,11,월,False
2016-01-12,14344,2016,1,12,화,False
2016-01-13,11175,2016,1,13,수,False
2016-01-14,11460,2016,1,14,목,False
2016-01-15,11681,2016,1,15,금,False
2016-01-16,22775,2016,1,16,토,True
2016-01-17,22391,2016,1,17,일,True
2016-01-18,386,2016,1,18,월,False
2016-01-19,11062,2016,1,19,화,False
2016-01-20,10996,2016,1,20,수,False
2016-01-21,10904,2016,1,21,목,False
2016-01-22,11277,2016,1,22,금,False
2016-01-23,21652,2016,1,23,토,True
2016-01-24,17556,2016,1,24,일,True
2016-01-25,0,2016,1,25,월,False
2016-01-26,9882,2016,1,26,화,False
2016-01-27,13474,2016,1,27,수,False
2016-01-28,9679,2016,1,28,목,False
2016-01-29,9221,2016,1,29,금,False
2016-01-30,17345,2016,1,30,토,True
2016-01-31,15779,2016,1,31,일,True
2016-02-01,0,2016,2,1,월,False
2016-02-02,5395,2016,2,2,화,False
2016-02-03,5483,2016,2,3,수,False
2016-02-04,3961,2016,2,4,목,False
2016-02-05,3571,2016,2,5,금,False
2016-02-06,10390,2016,2,6,토,True
2016-02-07,8998,2016,2,7,일,True
2016-02-08,12306,2016,2,8,월,False
2016-02-09,18593,2016,2,9,화,False
2016-02-10,15270,2016,2,10,수,False
2016-02-11,5973,2016,2,11,목,False
2016-02-12,6429,2016,2,12,금,False
2016-02-13,16784,2016,2,13,토,True
2016-02-14,14741,2016,2,14,일,True
2016-02-15,0,2016,2,15,월,False
2016-02-16,6598,2016,2,16,화,False
2016-02-17,7170,2016,2,17,수,False
2016-02-18,9105,2016,2,18,목,False
2016-02-19,8860,2016,2,19,금,False
2016-02-20,16945,2016,2,20,토,True
2016-02-21,15179,2016,2,21,일,True
2016-02-22,230,2016,2,22,월,False
2016-02-23,10569,2016,2,23,화,False
2016-02-24,13135,2016,2,24,수,False
2016-02-25,10784,2016,2,25,목,False
2016-02-26,10859,2016,2,26,금,False
2016-02-27,16764,2016,2,27,토,True
2016-02-28,17001,2016,2,28,일,True
2016-02-29,28,2016,2,29,월,False
2016-03-01,13605,2016,3,1,화,False
2016-03-02,4172,2016,3,2,수,False
2016-03-03,3624,2016,3,3,목,False
2016-03-04,3729,2016,3,4,금,False
2016-03-05,11916,2016,3,5,토,True
2016-03-06,10277,2016,3,6,일,True
2016-03-07,150,2016,3,7,월,False
2016-03-08,3601,2016,3,8,화,False
2016-03-09,3222,2016,3,9,수,False
2016-03-10,3452,2016,3,10,목,False
2016-03-11,3267,2016,3,11,금,False
2016-03-12,11511,2016,3,12,토,True
2016-03-13,10561,2016,3,13,일,True
2016-03-14,0,2016,3,14,월,False
2016-03-15,3852,2016,3,15,화,False
2016-03-16,3894,2016,3,16,수,False
2016-03-17,3652,2016,3,17,목,False
2016-03-18,3760,2016,3,18,금,False
2016-03-19,12368,2016,3,19,토,True
2016-03-20,10167,2016,3,20,일,True
2016-03-21,0,2016,3,21,월,False
2016-03-22,3953,2016,3,22,화,False
2016-03-23,4489,2016,3,23,수,False
2016-03-24,4311,2016,3,24,목,False
2016-03-25,4552,2016,3,25,금,False
2016-03-26,13105,2016,3,26,토,True
2016-03-27,10486,2016,3,27,일,True
2016-03-28,35,2016,3,28,월,False
2016-03-29,4791,2016,3,29,화,False
2016-03-30,9385,2016,3,30,수,False
2016-03-31,4821,2016,3,31,목,False
2016-04-01,5374,2016,4,1,금,False
2016-04-02,11305,2016,4,2,토,True
2016-04-03,10627,2016,4,3,일,True
2016-04-04,80,2016,4,4,월,False
2016-04-05,5273,2016,4,5,화,False
2016-04-06,7521,2016,4,6,수,False
2016-04-07,7088,2016,4,7,목,False
2016-04-08,5939,2016,4,8,금,False
2016-04-09,15578,2016,4,9,토,True
2016-04-10,12837,2016,4,10,일,True
2016-04-11,300,2016,4,11,월,False
2016-04-12,5590,2016,4,12,화,False
2016-04-13,9158,2016,4,13,수,False
2016-04-14,4592,2016,4,14,목,False
2016-04-15,4729,2016,4,15,금,False
2016-04-16,10703,2016,4,16,토,True
2016-04-17,9017,2016,4,17,일,True
2016-04-18,0,2016,4,18,월,False
2016-04-19,7074,2016,4,19,화,False
2016-04-20,7289,2016,4,20,수,False
2016-04-21,8263,2016,4,21,목,False
2016-04-22,7136,2016,4,22,금,False
2016-04-23,10286,2016,4,23,토,True
2016-04-24,8307,2016,4,24,일,True
2016-04-25,0,2016,4,25,월,False
2016-04-26,8377,2016,4,26,화,False
2016-04-27,10632,2016,4,27,수,False
2016-04-28,9007,2016,4,28,목,False
2016-04-29,7775,2016,4,29,금,False
2016-04-30,8748,2016,4,30,토,True
2016-05-01,7010,2016,5,1,일,True
2016-05-02,36,2016,5,2,월,False
2016-05-03,11656,2016,5,3,화,False
2016-05-04,8727,2016,5,4,수,False
2016-05-05,27550,2016,5,5,목,False
2016-05-06,19556,2016,5,6,금,False
2016-05-07,13637,2016,5,7,토,True
2016-05-08,12069,2016,5,8,일,True
2016-05-09,0,2016,5,9,월,False
2016-05-10,9450,2016,5,10,화,False
2016-05-11,9937,2016,5,11,수,False
2016-05-12,10750,2016,5,12,목,False
2016-05-13,7927,2016,5,13,금,False
2016-05-14,13395,2016,5,14,토,True
2016-05-15,11157,2016,5,15,일,True
2016-05-16,872,2016,5,16,월,False
2016-05-17,7223,2016,5,17,화,False
2016-05-18,10067,2016,5,18,수,False
2016-05-19,9512,2016,5,19,목,False
2016-05-20,7415,2016,5,20,금,False
2016-05-21,15727,2016,5,21,토,True
2016-05-22,11620,2016,5,22,일,True
2016-05-23,1130,2016,5,23,월,False
2016-05-24,9940,2016,5,24,화,False
2016-05-25,10278,2016,5,25,수,False
2016-05-26,9495,2016,5,26,목,False
2016-05-27,8322,2016,5,27,금,False
2016-05-28,18986,2016,5,28,토,True
2016-05-29,14050,2016,5,29,일,True
2016-05-30,1036,2016,5,30,월,False
2016-05-31,7362,2016,5,31,화,False
2016-06-01,9733,2016,6,1,수,False
2016-06-02,8281,2016,6,2,목,False
2016-06-03,7600,2016,6,3,금,False
2016-06-04,19417,2016,6,4,토,True
2016-06-05,19634,2016,6,5,일,True
2016-06-06,13723,2016,6,6,월,False
2016-06-07,1294,2016,6,7,화,False
2016-06-08,8332,2016,6,8,수,False
2016-06-09,8077,2016,6,9,목,False
2016-06-10,7959,2016,6,10,금,False
2016-06-11,19107,2016,6,11,토,True
2016-06-12,16331,2016,6,12,일,True
2016-06-13,0,2016,6,13,월,False
2016-06-14,5313,2016,6,14,화,False
2016-06-15,5817,2016,6,15,수,False
2016-06-16,4765,2016,6,16,목,False
2016-06-17,4375,2016,6,17,금,False
2016-06-18,15143,2016,6,18,토,True
2016-06-19,10281,2016,6,19,일,True
2016-06-20,187,2016,6,20,월,False
2016-06-21,5024,2016,6,21,화,False
2016-06-22,5011,2016,6,22,수,False
2016-06-23,4224,2016,6,23,목,False
2016-06-24,4550,2016,6,24,금,False
2016-06-25,16918,2016,6,25,토,True
2016-06-26,11135,2016,6,26,일,True
2016-06-27,320,2016,6,27,월,False
2016-06-28,5402,2016,6,28,화,False
2016-06-29,6971,2016,6,29,수,False
2016-06-30,4368,2016,6,30,목,False
2016-07-01,5316,2016,7,1,금,False
2016-07-02,14385,2016,7,2,토,True
2016-07-03,10518,2016,7,3,일,True
2016-07-04,550,2016,7,4,월,False
2016-07-05,6000,2016,7,5,화,False
2016-07-06,6524,2016,7,6,수,False
2016-07-07,4820,2016,7,7,목,False
2016-07-08,5056,2016,7,8,금,False
2016-07-09,16638,2016,7,9,토,True
2016-07-10,13061,2016,7,10,일,True
2016-07-11,150,2016,7,11,월,False
2016-07-12,5361,2016,7,12,화,False
2016-07-13,6163,2016,7,13,수,False
2016-07-14,7235,2016,7,14,목,False
2016-07-15,6429,2016,7,15,금,False
2016-07-16,20200,2016,7,16,토,True
2016-07-17,12513,2016,7,17,일,True
2016-07-18,100,2016,7,18,월,False
2016-07-19,5792,2016,7,19,화,False
2016-07-20,5960,2016,7,20,수,False
2016-07-21,5869,2016,7,21,목,False
2016-07-22,6174,2016,7,22,금,False
2016-07-23,20889,2016,7,23,토,True
2016-07-24,15115,2016,7,24,일,True
2016-07-25,630,2016,7,25,월,False
2016-07-26,9359,2016,7,26,화,False
2016-07-27,19093,2016,7,27,수,False
2016-07-28,13731,2016,7,28,목,False
2016-07-29,13958,2016,7,29,금,False
2016-07-30,22953,2016,7,30,토,True
2016-07-31,24218,2016,7,31,일,True
2016-08-01,574,2016,8,1,월,False
2016-08-02,23384,2016,8,2,화,False
2016-08-03,19492,2016,8,3,수,False
2016-08-04,16977,2016,8,4,목,False
2016-08-05,16778,2016,8,5,금,False
2016-08-06,28247,2016,8,6,토,True
2016-08-07,22424,2016,8,7,일,True
2016-08-08,368,2016,8,8,월,False
2016-08-09,15812,2016,8,9,화,False
2016-08-10,15259,2016,8,10,수,False
2016-08-11,15535,2016,8,11,목,False
2016-08-12,14985,2016,8,12,금,False
2016-08-13,28391,2016,8,13,토,True
2016-08-14,25149,2016,8,14,일,True
2016-08-15,27447,2016,8,15,월,False
2016-08-16,1814,2016,8,16,화,False
2016-08-17,14527,2016,8,17,수,False
2016-08-18,12565,2016,8,18,목,False
2016-08-19,11953,2016,8,19,금,False
2016-08-20,26939,2016,8,20,토,True
2016-08-21,20408,2016,8,21,일,True
2016-08-22,316,2016,8,22,월,False
2016-08-23,10500,2016,8,23,화,False
2016-08-24,9233,2016,8,24,수,False
2016-08-25,7528,2016,8,25,목,False
2016-08-26,7255,2016,8,26,금,False
2016-08-27,21966,2016,8,27,토,True
2016-08-28,14767,2016,8,28,일,True
2016-08-29,251,2016,8,29,월,False
2016-08-30,6152,2016,8,30,화,False
2016-08-31,9489,2016,8,31,수,False
2016-09-01,6293,2016,9,1,목,False
2016-09-02,6786,2016,9,2,금,False
2016-09-03,19088,2016,9,3,토,True
2016-09-04,17019,2016,9,4,일,True
2016-09-05,80,2016,9,5,월,False
2016-09-06,7214,2016,9,6,화,False
2016-09-07,6211,2016,9,7,수,False
2016-09-08,6772,2016,9,8,목,False
2016-09-09,5423,2016,9,9,금,False
2016-09-10,15119,2016,9,10,토,True
2016-09-11,10105,2016,9,11,일,True
2016-09-12,0,2016,9,12,월,False
2016-09-13,4062,2016,9,13,화,False
2016-09-14,7552,2016,9,14,수,False
2016-09-15,13523,2016,9,15,목,False
2016-09-16,12782,2016,9,16,금,False
2016-09-17,12542,2016,9,17,토,True
2016-09-18,8857,2016,9,18,일,True
2016-09-19,0,2016,9,19,월,False
2016-09-20,6113,2016,9,20,화,False
2016-09-21,7988,2016,9,21,수,False
2016-09-22,7305,2016,9,22,목,False
2016-09-23,7157,2016,9,23,금,False
2016-09-24,12927,2016,9,24,토,True
2016-09-25,9230,2016,9,25,일,True
2016-09-26,34,2016,9,26,월,False
2016-09-27,10890,2016,9,27,화,False
2016-09-28,13667,2016,9,28,수,False
2016-09-29,10751,2016,9,29,목,False
2016-09-30,8919,2016,9,30,금,False
2016-10-01,9988,2016,10,1,토,True
2016-10-02,15666,2016,10,2,일,True
2016-10-03,9565,2016,10,3,월,False
2016-10-04,5984,2016,10,4,화,False
2016-10-05,5644,2016,10,5,수,False
2016-10-06,10396,2016,10,6,목,False
2016-10-07,8683,2016,10,7,금,False
2016-10-08,10641,2016,10,8,토,True
2016-10-09,11513,2016,10,9,일,True
2016-10-10,2828,2016,10,10,월,False
2016-10-11,9457,2016,10,11,화,False
2016-10-12,10759,2016,10,12,수,False
2016-10-13,9626,2016,10,13,목,False
2016-10-14,9677,2016,10,14,금,False
2016-10-15,12256,2016,10,15,토,True
2016-10-16,9458,2016,10,16,일,True
2016-10-17,2883,2016,10,17,월,False
2016-10-18,9090,2016,10,18,화,False
2016-10-19,9954,2016,10,19,수,False
2016-10-20,10274,2016,10,20,목,False
2016-10-21,11191,2016,10,21,금,False
2016-10-22,12189,2016,10,22,토,True
2016-10-23,10354,2016,10,23,일,True
2016-10-24,2096,2016,10,24,월,False
2016-10-25,9963,2016,10,25,화,False
2016-10-26,8686,2016,10,26,수,False
2016-10-27,9567,2016,10,27,목,False
2016-10-28,7817,2016,10,28,금,False
2016-10-29,9663,2016,10,29,토,True
